PCA 300 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9784 | time= 127.1s
PCA 300 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.9732 | time= 280.8s
PCA 300 | wikiWork     | architecture=(784, 800) | Accuracy=0.9820 | time= 356.7s
PCA 400 | small        | architecture=(64,) | Accuracy=0.9686 | time= 15.7s
PCA 400 | medium       | architecture=(128,) | Accuracy=0.9774 | time= 42.9s
PCA 400 | wideShallow  | architecture=(256,) | Accuracy=0.9752 | time= 19.4s
PCA 400 | twoLayer     | architecture=(128, 64) | Accuracy=0.9742 | time= 17.9s
PCA 400 | mnistOptimal | architecture=(784,) | Accuracy=0.9777 | time= 82.7s
PCA 400 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9728 | time= 63.1s
PCA 400 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9655 | time= 43.2s
PCA 400 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9792 | time= 83.2s
PCA 400 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9800 | time= 273.0s
PCA 400 | wideDeep     | architecture=(256, 128) | Accuracy=0.9755 | time= 30.8s
PCA 400 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9798 | time= 246.1s
PCA 400 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.4911 | time= 142.2s
PCA 400 | wikiWork     | architecture=(784, 800) | Accuracy=0.9794 | time= 185.4s
PCA 500 | small        | architecture=(64,) | Accuracy=0.9725 | time= 21.1s
PCA 500 | medium       | architecture=(128,) | Accuracy=0.9744 | time= 23.5s
PCA 500 | wideShallow  | architecture=(256,) | Accuracy=0.9790 | time= 82.9s
PCA 500 | twoLayer     | architecture=(128, 64) | Accuracy=0.9749 | time= 20.3s
PCA 500 | mnistOptimal | architecture=(784,) | Accuracy=0.9813 | time= 241.1s
PCA 500 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9715 | time= 23.8s
PCA 500 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9627 | time= 52.3s
PCA 500 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9785 | time= 138.4s
PCA 500 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9770 | time= 178.6s
PCA 500 | wideDeep     | architecture=(256, 128) | Accuracy=0.9765 | time= 37.7s
PCA 500 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9782 | time= 164.4s
PCA 500 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.5776 | time= 374.2s
PCA 500 | wikiWork     | architecture=(784, 800) | Accuracy=0.9802 | time= 374.7s
PCA 784 | small        | architecture=(64,) | Accuracy=0.9706 | time= 22.8s
PCA 784 | medium       | architecture=(128,) | Accuracy=0.9732 | time= 35.6s
PCA 784 | wideShallow  | architecture=(256,) | Accuracy=0.9797 | time= 156.0s
PCA 784 | twoLayer     | architecture=(128, 64) | Accuracy=0.9722 | time= 30.0s
PCA 784 | mnistOptimal | architecture=(784,) | Accuracy=0.9813 | time= 345.9s
PCA 784 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9735 | time= 85.6s
PCA 784 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9664 | time= 86.1s
PCA 784 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9791 | time= 334.1s
PCA 784 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9773 | time= 216.5s
PCA 784 | wideDeep     | architecture=(256, 128) | Accuracy=0.9752 | time= 65.4s
PCA 784 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9743 | time= 169.0s
PCA 784 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.1135 | time= 108.2s
PCA 784 | wikiWork     | architecture=(784, 800) | Accuracy=0.9767 | time= 292.6s
LDA | small        | architecture=(64,) | Accuracy=0.9131 | time= 8.4s
LDA | medium       | architecture=(128,) | Accuracy=0.9152 | time= 9.1s
LDA | wideShallow  | architecture=(256,) | Accuracy=0.9204 | time= 25.7s
LDA | twoLayer     | architecture=(128, 64) | Accuracy=0.9227 | time= 24.5s
LDA | mnistOptimal | architecture=(784,) | Accuracy=0.9227 | time= 44.8s
LDA | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9233 | time= 30.4s
LDA | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9223 | time= 32.1s
LDA | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9200 | time= 76.9s
LDA | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9230 | time= 75.0s
LDA | wideDeep     | architecture=(256, 128) | Accuracy=0.9213 | time= 22.9s
LDA | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9222 | time= 95.8s
LDA | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.1135 | time= 46.8s
LDA | wikiWork     | architecture=(784, 800) | Accuracy=0.9208 | time= 272.9s


PCA1     Best: wikiWork     architecture=(784, 800) Accuracy=0.3175 time= 191.8s
PCA10    Best: twoLayerBottleNeck architecture=(512, 256) Accuracy=0.9453 time= 69.4s
PCA20    Best: wikiWork     architecture=(784, 800) Accuracy=0.9800 time= 275.2s
PCA30    Best: wikiWork     architecture=(784, 800) Accuracy=0.9859 time= 678.2s
PCA40    Best: wikiWork     architecture=(784, 800) Accuracy=0.9855 time= 316.4s
PCA50    Best: shallowTaper architecture=(512, 256, 128, 64) Accuracy=0.9841 time= 119.9s
PCA60    Best: mnistOptimal architecture=(784,) Accuracy=0.9842 time= 39.3s
PCA70    Best: wikiWork     architecture=(784, 800) Accuracy=0.9865 time= 488.5s
PCA80    Best: mnistOptimal architecture=(784,) Accuracy=0.9849 time= 29.8s
PCA90    Best: wikiWork     architecture=(784, 800) Accuracy=0.9853 time= 309.4s
PCA100   Best: wikiWork     architecture=(784, 800) Accuracy=0.9846 time= 250.8s
PCA200   Best: mnistOptimal architecture=(784,) Accuracy=0.9831 time= 137.3s
PCA300   Best: mnistOptimal architecture=(784,) Accuracy=0.9820 time= 184.4s
PCA400   Best: threeLayerBottleNeck architecture=(512, 256, 128) Accuracy=0.9800 time= 273.0s
PCA500   Best: mnistOptimal architecture=(784,) Accuracy=0.9813 time= 241.1s
PCA784   Best: mnistOptimal architecture=(784,) Accuracy=0.9813 time= 345.9s
